"ts","country","category","visits","unique_visitors","sales","number_of_products"
"2022-01-01T00:00:00.000000Z","UK","HOME",7,3,337.65,6
"2022-01-01T00:00:00.000000Z","UK","KITCHEN",7,1,131.6,6
"2022-01-01T00:00:00.000000Z","UK","BATHROOM",7,3,71.01,5
"2022-01-01T00:00:00.000000Z","ES","HOME",4,0,337.65,3
"2022-01-01T00:00:00.000000Z","ES","KITCHEN",4,0,131.6,3
"2022-01-01T00:00:00.000000Z","ES","BATHROOM",4,1,47.34,5
"2022-01-01T00:00:00.000000Z","FR","HOME",6,2,135.06,5
"2022-01-01T00:00:00.000000Z","FR","KITCHEN",6,2,52.64,5
"2022-01-01T00:00:00.000000Z","FR","BATHROOM",6,2,47.34,1
"2022-01-01T00:00:00.000000Z","DE","HOME",7,1,67.53,6
"2022-01-01T00:00:00.000000Z","DE","KITCHEN",6,2,26.32,6
"2022-01-01T00:00:00.000000Z","DE","BATHROOM",7,1,142.02,2
"2022-01-01T00:00:00.000000Z","IT","HOME",5,1,405.18,5
"2022-01-01T00:00:00.000000Z","IT","KITCHEN",5,1,157.920000000000,5
"2022-01-01T00:00:00.000000Z","IT","BATHROOM",5,0,71.01,1
"2022-01-02T00:00:00.000000Z","UK","HOME",15,4,270.12,1
"2022-01-02T00:00:00.000000Z","UK","KITCHEN",14,6,105.28,1
"2022-01-02T00:00:00.000000Z","UK","BATHROOM",15,4,142.02,4
"2022-01-02T00:00:00.000000Z","ES","HOME",9,2,337.65,5
"2022-01-02T00:00:00.000000Z","ES","KITCHEN",9,1,131.6,5
"2022-01-02T00:00:00.000000Z","ES","BATHROOM",9,1,118.350000000000,3
"2022-01-02T00:00:00.000000Z","FR","HOME",12,4,202.59,5
"2022-01-02T00:00:00.000000Z","FR","KITCHEN",14,5,78.960000000000,5
"2022-01-02T00:00:00.000000Z","FR","BATHROOM",12,4,47.34,2
"2022-01-02T00:00:00.000000Z","DE","HOME",14,3,67.53,1
"2022-01-02T00:00:00.000000Z","DE","KITCHEN",12,4,26.32,1
"2022-01-02T00:00:00.000000Z","DE","BATHROOM",13,4,94.68,4
"2022-01-02T00:00:00.000000Z","IT","HOME",11,3,135.06,4
"2022-01-02T00:00:00.000000Z","IT","KITCHEN",11,1,52.64,4
"2022-01-02T00:00:00.000000Z","IT","BATHROOM",11,2,47.34,2
"2022-01-03T00:00:00.000000Z","UK","HOME",22,7,67.53,4
"2022-01-03T00:00:00.000000Z","UK","KITCHEN",22,5,26.32,4
"2022-01-03T00:00:00.000000Z","UK","BATHROOM",22,5,23.67,1
"2022-01-03T00:00:00.000000Z","ES","HOME",13,1,135.06,3
"2022-01-03T00:00:00.000000Z","ES","KITCHEN",13,2,52.64,3
"2022-01-03T00:00:00.000000Z","ES","BATHROOM",13,2,118.350000000000,5
"2022-01-03T00:00:00.000000Z","FR","HOME",20,7,270.12,6
"2022-01-03T00:00:00.000000Z","FR","KITCHEN",19,6,105.28,6
"2022-01-03T00:00:00.000000Z","FR","BATHROOM",20,4,118.350000000000,3
"2022-01-03T00:00:00.000000Z","DE","HOME",19,9,202.59,4
"2022-01-03T00:00:00.000000Z","DE","KITCHEN",22,3,78.960000000000,4
"2022-01-03T00:00:00.000000Z","DE","BATHROOM",19,9,23.67,6
"2022-01-03T00:00:00.000000Z","IT","HOME",17,4,405.18,4
"2022-01-03T00:00:00.000000Z","IT","KITCHEN",16,5,157.920000000000,4
"2022-01-03T00:00:00.000000Z","IT","BATHROOM",16,5,142.02,6
"2022-01-04T00:00:00.000000Z","UK","HOME",30,5,67.53,5
"2022-01-04T00:00:00.000000Z","UK","KITCHEN",29,12,26.32,5
"2022-01-04T00:00:00.000000Z","UK","BATHROOM",30,6,94.68,1
"2022-01-04T00:00:00.000000Z","ES","HOME",18,4,337.65,3
"2022-01-04T00:00:00.000000Z","ES","KITCHEN",17,3,131.6,3
"2022-01-04T00:00:00.000000Z","ES","BATHROOM",18,5,47.34,3
"2022-01-04T00:00:00.000000Z","FR","HOME",25,8,202.59,5
"2022-01-04T00:00:00.000000Z","FR","KITCHEN",26,11,78.960000000000,5
"2022-01-04T00:00:00.000000Z","FR","BATHROOM",26,7,118.350000000000,4
"2022-01-04T00:00:00.000000Z","DE","HOME",29,8,405.18,3
"2022-01-04T00:00:00.000000Z","DE","KITCHEN",27,12,157.920000000000,3
"2022-01-04T00:00:00.000000Z","DE","BATHROOM",28,8,23.67,1
"2022-01-04T00:00:00.000000Z","IT","HOME",21,6,67.53,2
"2022-01-04T00:00:00.000000Z","IT","KITCHEN",21,6,26.32,2
"2022-01-04T00:00:00.000000Z","IT","BATHROOM",23,6,118.350000000000,2
"2022-01-05T00:00:00.000000Z","UK","HOME",37,16,202.59,4
"2022-01-05T00:00:00.000000Z","UK","KITCHEN",37,13,78.960000000000,4
"2022-01-05T00:00:00.000000Z","UK","BATHROOM",36,14,118.350000000000,3
"2022-01-05T00:00:00.000000Z","ES","HOME",22,5,337.65,1
"2022-01-05T00:00:00.000000Z","ES","KITCHEN",22,5,131.6,1
"2022-01-05T00:00:00.000000Z","ES","BATHROOM",22,4,118.350000000000,3
"2022-01-05T00:00:00.000000Z","FR","HOME",29,9,202.59,3
"2022-01-05T00:00:00.000000Z","FR","KITCHEN",34,8,78.960000000000,3
"2022-01-05T00:00:00.000000Z","FR","BATHROOM",30,8,142.02,3
"2022-01-05T00:00:00.000000Z","DE","HOME",33,11,202.59,5
"2022-01-05T00:00:00.000000Z","DE","KITCHEN",34,7,78.960000000000,5
"2022-01-05T00:00:00.000000Z","DE","BATHROOM",33,8,71.01,4
"2022-01-05T00:00:00.000000Z","IT","HOME",26,6,337.65,2
"2022-01-05T00:00:00.000000Z","IT","KITCHEN",27,5,131.6,2
"2022-01-05T00:00:00.000000Z","IT","BATHROOM",28,4,94.68,6
"2022-01-06T00:00:00.000000Z","UK","HOME",43,20,337.65,4
"2022-01-06T00:00:00.000000Z","UK","KITCHEN",45,20,131.6,4
"2022-01-06T00:00:00.000000Z","UK","BATHROOM",44,14,94.68,5
"2022-01-06T00:00:00.000000Z","ES","HOME",26,5,135.06,5
"2022-01-06T00:00:00.000000Z","ES","KITCHEN",26,5,52.64,5
"2022-01-06T00:00:00.000000Z","ES","BATHROOM",26,3,118.350000000000,1
"2022-01-06T00:00:00.000000Z","FR","HOME",37,11,135.06,1
"2022-01-06T00:00:00.000000Z","FR","KITCHEN",38,13,52.64,1
"2022-01-06T00:00:00.000000Z","FR","BATHROOM",40,13,118.350000000000,3
"2022-01-06T00:00:00.000000Z","DE","HOME",37,6,67.53,1
"2022-01-06T00:00:00.000000Z","DE","KITCHEN",42,17,26.32,1
"2022-01-06T00:00:00.000000Z","DE","BATHROOM",38,8,142.02,3
"2022-01-06T00:00:00.000000Z","IT","HOME",31,9,202.59,5
"2022-01-06T00:00:00.000000Z","IT","KITCHEN",31,7,78.960000000000,5
"2022-01-06T00:00:00.000000Z","IT","BATHROOM",31,5,94.68,1
"2022-01-07T00:00:00.000000Z","UK","HOME",51,19,405.18,3
"2022-01-07T00:00:00.000000Z","UK","KITCHEN",50,23,157.920000000000,3
"2022-01-07T00:00:00.000000Z","UK","BATHROOM",51,18,94.68,6
"2022-01-07T00:00:00.000000Z","ES","HOME",30,6,67.53,6
"2022-01-07T00:00:00.000000Z","ES","KITCHEN",30,6,26.32,6
"2022-01-07T00:00:00.000000Z","ES","BATHROOM",30,6,47.34,5
"2022-01-07T00:00:00.000000Z","FR","HOME",43,16,405.18,1
"2022-01-07T00:00:00.000000Z","FR","KITCHEN",40,19,157.920000000000,1
"2022-01-07T00:00:00.000000Z","FR","BATHROOM",43,14,71.01,2
"2022-01-07T00:00:00.000000Z","DE","HOME",45,21,270.12,1
"2022-01-07T00:00:00.000000Z","DE","KITCHEN",46,17,105.28,1
"2022-01-07T00:00:00.000000Z","DE","BATHROOM",49,18,71.01,5
"2022-01-07T00:00:00.000000Z","IT","HOME",37,7,202.59,2
"2022-01-07T00:00:00.000000Z","IT","KITCHEN",36,10,78.960000000000,2
"2022-01-07T00:00:00.000000Z","IT","BATHROOM",38,7,47.34,5
"2022-01-08T00:00:00.000000Z","UK","HOME",58,17,270.12,2
"2022-01-08T00:00:00.000000Z","UK","KITCHEN",57,26,105.28,2
"2022-01-08T00:00:00.000000Z","UK","BATHROOM",57,15,71.01,4
"2022-01-08T00:00:00.000000Z","ES","HOME",34,3,405.18,2
"2022-01-08T00:00:00.000000Z","ES","KITCHEN",34,6,157.920000000000,2
"2022-01-08T00:00:00.000000Z","ES","BATHROOM",34,8,23.67,6
"2022-01-08T00:00:00.000000Z","FR","HOME",46,21,135.06,6
"2022-01-08T00:00:00.000000Z","FR","KITCHEN",54,22,52.64,6
"2022-01-08T00:00:00.000000Z","FR","BATHROOM",51,18,23.67,6
"2022-01-08T00:00:00.000000Z","DE","HOME",51,25,270.12,3
"2022-01-08T00:00:00.000000Z","DE","KITCHEN",48,25,105.28,3
"2022-01-08T00:00:00.000000Z","DE","BATHROOM",50,17,23.67,1
"2022-01-08T00:00:00.000000Z","IT","HOME",42,12,135.06,4
"2022-01-08T00:00:00.000000Z","IT","KITCHEN",42,10,52.64,4
"2022-01-08T00:00:00.000000Z","IT","BATHROOM",41,13,47.34,3
"2022-01-09T00:00:00.000000Z","UK","HOME",65,19,202.59,1
"2022-01-09T00:00:00.000000Z","UK","KITCHEN",63,12,78.960000000000,1
"2022-01-09T00:00:00.000000Z","UK","BATHROOM",64,12,47.34,3
"2022-01-09T00:00:00.000000Z","ES","HOME",38,9,67.53,4
"2022-01-09T00:00:00.000000Z","ES","KITCHEN",38,7,26.32,4
"2022-01-09T00:00:00.000000Z","ES","BATHROOM",38,6,142.02,2
"2022-01-09T00:00:00.000000Z","FR","HOME",56,21,337.65,5
"2022-01-09T00:00:00.000000Z","FR","KITCHEN",59,23,131.6,5
"2022-01-09T00:00:00.000000Z","FR","BATHROOM",52,19,23.67,2
"2022-01-09T00:00:00.000000Z","DE","HOME",53,22,270.12,6
"2022-01-09T00:00:00.000000Z","DE","KITCHEN",62,28,105.28,6
"2022-01-09T00:00:00.000000Z","DE","BATHROOM",59,21,94.68,1
"2022-01-09T00:00:00.000000Z","IT","HOME",48,13,337.65,6
"2022-01-09T00:00:00.000000Z","IT","KITCHEN",48,8,131.6,6
"2022-01-09T00:00:00.000000Z","IT","BATHROOM",49,6,118.350000000000,3
"2022-01-10T00:00:00.000000Z","UK","HOME",70,17,337.65,4
"2022-01-10T00:00:00.000000Z","UK","KITCHEN",69,19,131.6,4
"2022-01-10T00:00:00.000000Z","UK","BATHROOM",71,12,23.67,5
"2022-01-10T00:00:00.000000Z","ES","HOME",42,12,337.65,3
"2022-01-10T00:00:00.000000Z","ES","KITCHEN",42,6,131.6,3
"2022-01-10T00:00:00.000000Z","ES","BATHROOM",42,13,23.67,4
"2022-01-10T00:00:00.000000Z","FR","HOME",63,16,405.18,1
"2022-01-10T00:00:00.000000Z","FR","KITCHEN",62,22,157.920000000000,1
"2022-01-10T00:00:00.000000Z","FR","BATHROOM",56,25,142.02,5
"2022-01-10T00:00:00.000000Z","DE","HOME",64,19,270.12,2
"2022-01-10T00:00:00.000000Z","DE","KITCHEN",68,29,105.28,2
"2022-01-10T00:00:00.000000Z","DE","BATHROOM",59,16,94.68,3
"2022-01-10T00:00:00.000000Z","IT","HOME",52,7,202.59,2
"2022-01-10T00:00:00.000000Z","IT","KITCHEN",53,11,78.960000000000,2
"2022-01-10T00:00:00.000000Z","IT","BATHROOM",52,11,47.34,2
"2022-01-11T00:00:00.000000Z","UK","HOME",77,24,135.06,1
"2022-01-11T00:00:00.000000Z","UK","KITCHEN",76,32,52.64,1
"2022-01-11T00:00:00.000000Z","UK","BATHROOM",77,31,94.68,2
"2022-01-11T00:00:00.000000Z","ES","HOME",45,10,135.06,2
"2022-01-11T00:00:00.000000Z","ES","KITCHEN",44,13,52.64,2
"2022-01-11T00:00:00.000000Z","ES","BATHROOM",45,11,118.350000000000,3
"2022-01-11T00:00:00.000000Z","FR","HOME",62,26,135.06,3
"2022-01-11T00:00:00.000000Z","FR","KITCHEN",61,16,52.64,3
"2022-01-11T00:00:00.000000Z","FR","BATHROOM",59,23,118.350000000000,6
"2022-01-11T00:00:00.000000Z","DE","HOME",71,21,202.59,6
"2022-01-11T00:00:00.000000Z","DE","KITCHEN",70,12,78.960000000000,6
"2022-01-11T00:00:00.000000Z","DE","BATHROOM",64,12,94.68,6
"2022-01-11T00:00:00.000000Z","IT","HOME",57,9,337.65,1
"2022-01-11T00:00:00.000000Z","IT","KITCHEN",57,13,131.6,1
"2022-01-11T00:00:00.000000Z","IT","BATHROOM",54,17,94.68,5
"2022-01-12T00:00:00.000000Z","UK","HOME",80,37,405.18,4
"2022-01-12T00:00:00.000000Z","UK","KITCHEN",81,25,157.920000000000,4
"2022-01-12T00:00:00.000000Z","UK","BATHROOM",82,17,23.67,6
