"symbol","side","price","amount","timestamp"
"BTC-USD","sell",25741.02,0.02188038,"2023-09-05T16:00:01.281719Z"
"BTC-USD","buy",25741.03,0.00184646,"2023-09-05T16:00:01.775613Z"
"BTC-USD","buy",25741.03,3.844E-5,"2023-09-05T16:00:02.722748Z"
"BTC-USD","sell",25741.02,0.00588556,"2023-09-05T16:00:03.465915Z"
"BTC-USD","buy",25741.03,0.01233132,"2023-09-05T16:00:03.830519Z"
"BTC-USD","sell",25741.02,9.7121E-4,"2023-09-05T16:00:03.935496Z"
"BTC-USD","sell",25741.02,0.0334299,"2023-09-05T16:00:05.060297Z"
"BTC-USD","buy",25741.03,0.01610549,"2023-09-05T16:00:05.273024Z"
"BTC-USD","buy",25741.03,0.00203838,"2023-09-05T16:00:05.498001Z"
"BTC-USD","buy",25741.03,0.01104302,"2023-09-05T16:00:05.795526Z"
"BTC-USD","sell",25741.02,0.004,"2023-09-05T16:00:05.958839Z"
"BTC-USD","sell",25738.57,0.06499138,"2023-09-05T16:00:05.958906Z"
"BTC-USD","buy",25738.2,0.00184646,"2023-09-05T16:00:06.092032Z"
"BTC-USD","buy",25738.2,0.0189477,"2023-09-05T16:00:06.603121Z"
"BTC-USD","buy",25738.2,0.00100034,"2023-09-05T16:00:06.656118Z"
"BTC-USD","buy",25738.2,0.00127578,"2023-09-05T16:00:07.121093Z"
"BTC-USD","buy",25738.2,0.00178327,"2023-09-05T16:00:07.808793Z"
"BTC-USD","buy",25738.2,0.00188471,"2023-09-05T16:00:07.907660Z"
"BTC-USD","buy",25740.66,0.00469712,"2023-09-05T16:00:09.455732Z"
"BTC-USD","buy",25739.97,0.00185579,"2023-09-05T16:00:10.361691Z"
"BTC-USD","sell",25739.7,0.077,"2023-09-05T16:00:10.717236Z"
"BTC-USD","sell",25738.49,0.09713077,"2023-09-05T16:00:10.723746Z"
"BTC-USD","buy",25735.62,0.0015493,"2023-09-05T16:00:10.998774Z"
"BTC-USD","buy",25735.95,0.00156608,"2023-09-05T16:00:11.051516Z"
"BTC-USD","sell",25735.94,0.09714041,"2023-09-05T16:00:11.191559Z"
"BTC-USD","buy",25736.9,0.00469413,"2023-09-05T16:00:13.552486Z"
"BTC-USD","buy",25736.9,0.00172124,"2023-09-05T16:00:14.639194Z"
"BTC-USD","sell",25735.9,0.09714057,"2023-09-05T16:00:14.872558Z"
"BTC-USD","sell",25735.83,0.09616102,"2023-09-05T16:00:15.612185Z"
"BTC-USD","buy",25735.84,5.1965E-4,"2023-09-05T16:00:15.830931Z"
"BTC-USD","sell",25735.83,0.0971408,"2023-09-05T16:00:15.848943Z"
"BTC-USD","buy",25736.22,0.03751174,"2023-09-05T16:00:17.282046Z"
"BTC-USD","sell",25739.08,1.8214E-4,"2023-09-05T16:00:17.562295Z"
"BTC-USD","sell",25738.14,0.004,"2023-09-05T16:00:17.565474Z"
"BTC-USD","sell",25736.24,0.27,"2023-09-05T16:00:17.992276Z"
"BTC-USD","sell",25736.23,1.0,"2023-09-05T16:00:18.214808Z"
"BTC-USD","buy",25739.09,0.37626065,"2023-09-05T16:00:18.669487Z"
"BTC-USD","sell",25740.0,0.01763579,"2023-09-05T16:00:19.342134Z"
"BTC-USD","sell",25739.67,0.00199104,"2023-09-05T16:00:20.033748Z"
"BTC-USD","sell",25739.71,0.00195214,"2023-09-05T16:00:20.626852Z"
"BTC-USD","sell",25739.88,0.04309333,"2023-09-05T16:00:21.240370Z"
"BTC-USD","buy",25741.03,0.00211553,"2023-09-05T16:00:22.199353Z"
"BTC-USD","sell",25740.37,0.2085,"2023-09-05T16:00:22.212436Z"
"BTC-USD","sell",25740.28,0.176,"2023-09-05T16:00:22.541502Z"
"BTC-USD","buy",25741.03,2.563E-5,"2023-09-05T16:00:22.626464Z"
"BTC-USD","sell",25741.52,0.00480548,"2023-09-05T16:00:22.652278Z"
"BTC-USD","buy",25741.53,1.0314E-4,"2023-09-05T16:00:22.669635Z"
"BTC-USD","buy",25741.96,0.01,"2023-09-05T16:00:23.286067Z"
"BTC-USD","buy",25743.0,7.8158E-4,"2023-09-05T16:00:23.286103Z"
"BTC-USD","sell",25743.01,0.0013284,"2023-09-05T16:00:23.311440Z"
"BTC-USD","buy",25743.92,0.01661354,"2023-09-05T16:00:23.528930Z"
"BTC-USD","sell",25743.89,0.02641489,"2023-09-05T16:00:24.315154Z"
"BTC-USD","sell",25743.1,0.02313796,"2023-09-05T16:00:24.685937Z"
"BTC-USD","buy",25743.81,1.4833E-4,"2023-09-05T16:00:24.695606Z"
"BTC-USD","buy",25745.72,3.1181E-4,"2023-09-05T16:00:26.672168Z"
"BTC-USD","buy",25745.71,1.95E-4,"2023-09-05T16:00:27.971670Z"
"BTC-USD","buy",25745.71,0.00404502,"2023-09-05T16:00:30.560462Z"
"BTC-USD","sell",25745.7,1.95E-4,"2023-09-05T16:00:30.828474Z"
"BTC-USD","buy",25745.71,7.615E-5,"2023-09-05T16:00:31.001327Z"
"BTC-USD","sell",25745.7,8.9368E-4,"2023-09-05T16:00:33.226580Z"
"BTC-USD","buy",25745.71,0.00115437,"2023-09-05T16:00:33.412952Z"
"BTC-USD","buy",25745.71,7.1191E-4,"2023-09-05T16:00:35.127448Z"
"BTC-USD","buy",25745.71,0.00326053,"2023-09-05T16:00:36.465986Z"
"BTC-USD","buy",25745.71,3.2989E-4,"2023-09-05T16:00:36.683404Z"
"BTC-USD","sell",25745.7,0.00392303,"2023-09-05T16:00:38.122284Z"
"BTC-USD","buy",25741.25,0.0018269,"2023-09-05T16:00:39.435017Z"
"BTC-USD","sell",25741.6,0.004,"2023-09-05T16:00:45.070542Z"
"BTC-USD","buy",25741.06,0.01845966,"2023-09-05T16:00:45.227567Z"
"BTC-USD","buy",25741.47,0.00367328,"2023-09-05T16:00:45.657011Z"
"BTC-USD","sell",25742.14,1.635E-4,"2023-09-05T16:00:47.269472Z"
"BTC-USD","buy",25742.15,0.00373033,"2023-09-05T16:00:48.517888Z"
"BTC-USD","sell",25742.14,0.019,"2023-09-05T16:00:48.811764Z"
"BTC-USD","sell",25741.03,0.001,"2023-09-05T16:00:49.145849Z"
"BTC-USD","buy",25742.04,0.1064448,"2023-09-05T16:00:49.276484Z"
"BTC-USD","sell",25741.18,1.1735E-4,"2023-09-05T16:00:49.610747Z"
"BTC-USD","buy",25743.98,0.05617763,"2023-09-05T16:00:50.001353Z"
"BTC-USD","buy",25742.29,0.00146973,"2023-09-05T16:00:51.774714Z"
"BTC-USD","sell",25742.29,0.02906238,"2023-09-05T16:00:52.632235Z"
"BTC-USD","buy",25742.09,0.00369764,"2023-09-05T16:00:52.804352Z"
"BTC-USD","sell",25742.19,0.001,"2023-09-05T16:00:55.707775Z"
"BTC-USD","sell",25742.23,0.00556562,"2023-09-05T16:00:56.130012Z"
"BTC-USD","buy",25742.21,7.8881E-4,"2023-09-05T16:00:57.569613Z"
"BTC-USD","buy",25741.54,3.8599E-4,"2023-09-05T16:00:59.448195Z"
"BTC-USD","buy",25741.54,3.878E-5,"2023-09-05T16:01:01.478373Z"
"BTC-USD","buy",25741.54,7.1029E-4,"2023-09-05T16:01:03.671156Z"
"BTC-USD","buy",25741.03,0.01479221,"2023-09-05T16:01:05.308225Z"
"BTC-USD","sell",25739.86,0.03665672,"2023-09-05T16:01:06.226452Z"
"BTC-USD","sell",25739.95,0.0059963,"2023-09-05T16:01:06.529884Z"
"BTC-USD","buy",25739.68,0.04591335,"2023-09-05T16:01:08.546621Z"
"BTC-USD","buy",25739.67,1.94E-4,"2023-09-05T16:01:08.652666Z"
"BTC-USD","buy",25739.65,0.00581622,"2023-09-05T16:01:08.670993Z"
"BTC-USD","buy",25739.68,0.002,"2023-09-05T16:01:08.695086Z"
